Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CMCSA,Comcast Corporation Class A Common Stock,$35.51,0.20,0.566%,149712160207.00,United States,,22181732,Consumer Discretionary,Telecommunications Equipment
CME,CME Group Inc. Class A Common Stock,$179.71,5.04,2.885%,64646739906.00,United States,2002,3158664,Finance,Investment Bankers/Brokers/Service
COIN,Coinbase Global Inc. Class A Common Stock,$59.17,5.73,10.722%,15496623000.00,United States,,31383989,Finance,Investment Bankers/Brokers/Service
COST,Costco Wholesale Corporation Common Stock,$472.00,0.86,0.183%,209440104992.00,United States,,1798872,Consumer Discretionary,Department/Specialty Retail Stores
CPRT,Copart Inc. (DE) Common Stock,$67.92,-0.48,-0.702%,32350296747.00,United States,1994,2772545,Consumer Discretionary,Other Specialty Stores
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$121.41,1.69,1.412%,28457751258.00,United States,2019,6259641,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$48.41,-0.15,-0.309%,198873269280.00,United States,1990,20279221,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,$66.84,-0.24,-0.358%,27183163610.00,United States,1998,2045784,Finance,Real Estate
CSX,CSX Corporation Common Stock,$29.06,-0.43,-1.458%,59939313912.00,United States,,17488236,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,$430.86,2.56,0.598%,43784199582.00,United States,1983,339651,Consumer Discretionary,Business Services
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$57.98,-2.40,-3.975%,29528901952.00,United States,1998,8749293,Technology,EDP Services
DDOG,Datadog Inc. Class A Common Stock,$66.24,1.10,1.689%,21035163669.00,United States,2019,7979627,Technology,EDP Services
DLTR,Dollar Tree Inc. Common Stock,$142.29,2.00,1.426%,31472339517.00,United States,1995,2531566,Consumer Discretionary,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,$53.065,3.375,6.792%,10669999664.00,United States,2018,10199088,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$89.90,-0.83,-0.915%,10840861200.00,Guernsey,,1025094,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,$110.66,2.89,2.682%,42760538935.00,United States,2005,1971266,Health Care,Medical Specialities
EA,Electronic Arts Inc. Common Stock,$110.07,0.88,0.806%,30184231492.00,United States,,2662482,Consumer Discretionary,Recreational Games/Products/Toys
EBAY,eBay Inc. Common Stock,$41.09,-0.95,-2.26%,22297861885.00,United States,1998,5945978,Consumer Discretionary,Catalog/Specialty Distribution
